,index,caption,url,Visible,Subjective,Action,Story,Meta,Irrelevant,Other,When,How,Where,Comment
0,3030,plastic bags production line in a factory,https://ak4.picdn.net/shutterstock/videos/23932084/thumb/1.jpg,1,0,0,0,1,0,0,0,1,0,False
1,2548,a close - up of the lockers,https://netmobius.freetls.fastly.net/images-stn-osaka/37-Umeda-Lockers17.jpg,1,0,0,0,1,0,0,0,0,1,False
2,2878,the house enjoys verdant views over the garden,https://secure.uniquebookingservices.com/uf/properties/ellesmera-mill/ib/68439-weblg/the-house-enjoys-verdant-views-over-the-garden.jpg,1,0,0,1,1,0,0,0,1,0,False
3,5502,the view from our apartment,https://c1.staticflickr.com/6/5789/25358451519_8843c62ec5_o.jpg,0,0,0,0,0,1,0,0,0,0,False
4,3185,print and download bless the sheet music by country artist arranged for musical instrument .,https://i.pinimg.com/736x/7c/89/a0/7c89a0d32ce5e3a90d9662904ed66fea--c-major-rascal-flatts.jpg,0,0,0,1,0,0,1,0,0,0,text but relevant? 
5,7437,macro shot of a leaf,https://c1.staticflickr.com/9/8072/29212999584_0b1345d1c3_o.jpg,1,0,0,0,1,0,0,0,0,1,False
6,1593,cricketer tied the knot with person in a private ceremony at a posh hotel on friday night .,http://www.hindustantimes.com/rf/image_size_800x600/HT/p1/2015/04/04/Incoming/Pictures/1333803_Wallpaper2.jpg,1,0,0,1,1,0,0,0,0,0,False
7,1504,the end of the road,http://ramcquade.com/wp-content/uploads/2014/04/OnionValleyEndOfTheRoad.jpg,1,0,0,0,0,0,0,0,0,0,False
8,1299,there are always flowers for those who want to see them .,http://www.inblix.com/images/there-are-always-flowers-those-who-want-see-them-henri-matisse.jpg,0,0,0,0,0,0,1,0,0,0,text
9,2344,coffee in a paper cup,https://media.istockphoto.com/photos/coffee-in-a-paper-cup-picture-id492487932?k=6&m=492487932&s=612x612&w=0&h=LZVjDr6JyqSnBBFDkeDphgRSZiiyEZLZgUasr1GJ8n8=,1,0,0,0,0,0,0,0,0,0,False
10,2248,swing artist and actor with an animatronic crocodile .,https://media.gettyimages.com/photos/martin-kemp-and-bradley-walsh-with-an-animatronic-crocodile-from-pan-picture-id853496366,1,0,0,0,0,0,0,0,0,0,False
11,2529,the exterior a luxury apartment complex located,https://media.gettyimages.com/photos/the-exterior-of-the-tomson-riviera-a-luxury-apartment-complex-located-picture-id528825930?s=612x612,1,0,0,0,1,0,0,0,1,1,False
12,19,safe deposit with money around it on a white background photo,https://us.123rf.com/450wm/artvitdiz/artvitdiz1505/artvitdiz150500153/39598311-safe-deposit-with-money-around-it-on-a-white-background.jpg?ver=6,1,0,0,0,0,0,0,0,0,0,False
13,4834,automobile model is on display at show,https://c1.staticflickr.com/1/255/32379982731_885fddb8e3_o.jpg,1,0,0,0,1,0,0,0,1,0,False
14,6560,digital art selected for the #,https://c1.staticflickr.com/8/7454/27845995016_a5fe81c21e_o.jpg,0,0,0,0,0,1,0,0,0,0,False
15,6699,a view of the garden,https://c1.staticflickr.com/6/5692/31185898182_97ea2030b4_o.jpg,1,0,0,0,1,0,0,0,0,1,False
16,5544,red heart in the palm of a hand,https://c1.staticflickr.com/9/8804/28469670051_de3972be3b_o.jpg,0,0,0,0,0,0,1,0,0,0,text
17,3331,ice hockey centre celebrates his goal during the second period of a hockey game .,http://i.dailymail.co.uk/1/2017/10/20/06/wire-1566137-1508476817-734_634x505.jpg,1,0,1,0,1,0,0,1,0,0,False
18,1822,a path winds through an ancient bamboo forest,https://images.robertharding.com/preview/RM/RH/HORIZONTAL/1233-2.jpg,1,0,0,0,0,0,0,0,0,0,False
19,5349,a city from the sky,https://c1.staticflickr.com/6/5498/30622510080_255ba6cdaf_o.jpg,1,0,0,0,1,0,0,0,1,1,False
20,7154,a model wears a creation for summer ready to wear fashion collection presented during fashion week,https://c1.staticflickr.com/8/7533/27724292381_c8f290d35c_o.jpg,0,0,0,0,0,1,0,0,0,0,False
21,126,person finally get their hands with win,https://www.thesun.co.uk/wp-content/uploads/2017/04/nintchdbpict000293376642.jpg?strip=all&w=960,1,0,0,0,0,0,0,0,0,0,False
22,4469,view of headland as seen,http://l7.alamy.com/zooms/8f0c2eb7ad8f486bb60c5937f40952ad/view-of-deutsches-eck-headland-as-seen-from-ehrenbreitstein-castle-g32dg8.jpg,1,0,0,0,1,0,0,0,0,1,False
23,4804,view of the front porch of the house,https://c1.staticflickr.com/4/3793/33084468691_5dd841ab55_o.jpg,1,0,0,0,1,0,0,0,0,1,False
24,3382,residents order from a food truck .,https://realestate.usnews.com/static-assets/cms/img/bestplaces/41307/AL_Huntsville_12.jpg,1,0,1,0,0,0,0,0,0,0,False
25,6460,baseball player hits a home run during the first inning of a baseball game against sports team,https://c1.staticflickr.com/6/5614/30108532683_19c34833d6_o.jpg,1,0,1,1,1,0,0,1,1,0,False
26,842,an exposure of the building located after dark .,http://ww1.hdnux.com/photos/17/46/20/4088832/7/1024x1024.jpg,0,0,0,0,1,0,0,0,0,0,False
27,4237,person is excited about the city 's economic prospects .,http://nnimgt-a.akamaihd.net/transform/v1/crop/frm/storypad-ZHYS2uCPPudmT3gesjMJeF/14abdd1e-e680-4b4e-86a4-6d90114dfbce.JPG/r0_160_3792_2300_w1200_h678_fmax.jpg,0,0,0,1,0,0,0,0,0,0,False
28,7637,how to make the most of your dreams,https://c1.staticflickr.com/8/7571/26953910900_9174f7856c_o.jpg,0,0,0,1,0,0,0,0,0,0,False
29,4677,pink tulips in the garden,https://c1.staticflickr.com/8/7750/26565323360_08c9f27d10_o.jpg,1,0,0,0,1,0,0,0,1,0,False
30,982,cartoon of a happy blood,http://diysolarpanelsv.com/images/hot-water-clipart-36.jpg,1,0,0,0,0,0,0,0,0,0,False
31,355,christmas tree with decorations in the living room .,https://ak4.picdn.net/shutterstock/videos/20331754/thumb/4.jpg,1,0,0,0,0,0,0,0,0,0,False
32,3392,salted fish in the making,https://farm9.staticflickr.com/8874/18731304136_a6fe495f9d_b.jpg,0,0,0,0,0,0,1,0,0,0,text
33,1391,male hand playing nervously with a pencil on a black background,https://ak8.picdn.net/shutterstock/videos/10788488/thumb/1.jpg?i10c=img.resize(height:160),1,0,1,0,0,0,0,0,0,0,False
34,1741,a cyclist uses the new bike lanes .,https://www.thestar.com/content/dam/thestar/life/2015/06/18/new-queens-quay-accommodates-all-modes-of-transportation/new-queens-quay.jpg.size.custom.crop.1086x724.jpg,1,0,0,0,0,0,0,0,0,0,False
35,1969,"a shop , that caters to migrants preparing to enter country illegally",http://l7.alamy.com/zooms/dda1c18c40cc4c2f963c8a35fc81813f/a-shop-in-altar-sonora-mexico-that-caters-to-migrants-preparing-to-c4cj3y.jpg,1,0,0,1,0,0,0,0,0,0,False
36,5384,digital art selected for the #,https://c1.staticflickr.com/9/8576/28816668785_f5d4e7356a_o.jpg,0,0,0,0,0,1,0,0,0,0,False
37,762,actors attend the season premiere on the lot .,https://media.gettyimages.com/photos/actress-anne-heche-and-actor-thomas-jane-attend-the-season-2-premiere-picture-id102361732,1,0,0,0,0,0,0,0,0,0,False
38,7676,view of the skyline at night,https://c1.staticflickr.com/9/8566/29662698301_906724e7ba_o.jpg,1,0,0,0,1,0,0,1,0,1,False
39,3661,driving in blizzard and snow on the highway,https://ak4.picdn.net/shutterstock/videos/23922844/thumb/1.jpg,0,0,0,1,0,0,0,0,0,0,False
40,4592,firefighters work to put out a fire at a home,https://c1.staticflickr.com/6/5579/31368229200_c42b5fff7f_o.jpg,0,0,0,0,0,1,0,0,0,0,False
41,6393,motorcycles on the grass in the park,https://c1.staticflickr.com/8/7074/26892938592_3f5e23bc0e_o.jpg,1,0,0,0,1,0,0,0,1,0,False
42,3754,a city in the fog,http://l7.alamy.com/zooms/90188319459e4c7e80e49fb0d8bb468a/signal-hill-in-the-fog-newfoundland-ehmw4p.jpg,0,0,0,0,0,1,0,0,0,0,False
43,299,a city from the top,https://ak6.picdn.net/shutterstock/videos/2651876/thumb/1.jpg?i10c=img.resize(height:160),1,0,0,0,0,0,0,0,0,0,False
